Timestamp | Device_ID | Usage (Liters/min) | Status
2026-06-01 06:57:01 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-06-01 06:57:01 | ICU_WATER_RESERVE | 26 | NORMAL
2026-06-01 06:57:02 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-06-01 06:57:02 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-01 06:57:03 | FACILITY_WATER_MAIN | 31 | NORMAL
2026-06-01 06:57:03 | ICU_WATER_RESERVE | 27 | NORMAL
2026-06-01 06:57:04 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-06-01 06:57:04 | ICU_WATER_RESERVE | 16 | NORMAL
2026-06-01 06:57:05 | FACILITY_WATER_MAIN | 9 | NORMAL
2026-06-01 06:57:05 | ICU_WATER_RESERVE | 31 | NORMAL
2026-06-01 06:57:06 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
2026-06-01 06:57:06 | ICU_WATER_RESERVE | 42 | HIGH_USAGE
2026-06-01 06:57:07 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-06-01 06:57:07 | ICU_WATER_RESERVE | 22 | NORMAL
2026-06-01 06:57:08 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-06-01 06:57:08 | ICU_WATER_RESERVE | 32 | NORMAL
2026-06-01 06:57:09 | FACILITY_WATER_MAIN | 5 | NORMAL
2026-06-01 06:57:09 | ICU_WATER_RESERVE | 28 | NORMAL
2026-06-01 06:57:10 | FACILITY_WATER_MAIN | 15 | NORMAL
2026-06-01 06:57:10 | ICU_WATER_RESERVE | 12 | NORMAL
2026-06-01 06:57:11 | FACILITY_WATER_MAIN | 26 | NORMAL
2026-06-01 06:57:11 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-01 06:57:12 | FACILITY_WATER_MAIN | 7 | NORMAL
2026-06-01 06:57:12 | ICU_WATER_RESERVE | 27 | NORMAL
2026-06-01 06:57:13 | FACILITY_WATER_MAIN | 35 | NORMAL
2026-06-01 06:57:13 | ICU_WATER_RESERVE | 40 | HIGH_USAGE
2026-06-01 06:57:14 | FACILITY_WATER_MAIN | 32 | NORMAL
2026-06-01 06:57:14 | ICU_WATER_RESERVE | 24 | NORMAL
2026-06-01 06:57:15 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-06-01 06:57:15 | ICU_WATER_RESERVE | 20 | NORMAL
2026-06-01 06:57:16 | FACILITY_WATER_MAIN | 6 | NORMAL
2026-06-01 06:57:16 | ICU_WATER_RESERVE | 41 | HIGH_USAGE
2026-06-01 06:57:17 | FACILITY_WATER_MAIN | 30 | NORMAL
2026-06-01 06:57:17 | ICU_WATER_RESERVE | 6 | NORMAL
2026-06-01 06:57:18 | FACILITY_WATER_MAIN | 13 | NORMAL
2026-06-01 06:57:18 | ICU_WATER_RESERVE | 10 | NORMAL
2026-06-01 06:57:19 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-06-01 06:57:19 | ICU_WATER_RESERVE | 22 | NORMAL
2026-06-01 06:57:20 | FACILITY_WATER_MAIN | 14 | NORMAL
2026-06-01 06:57:20 | ICU_WATER_RESERVE | 9 | NORMAL
2026-06-01 06:57:21 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-06-01 06:57:21 | ICU_WATER_RESERVE | 13 | NORMAL
2026-06-01 06:57:22 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-06-01 06:57:22 | ICU_WATER_RESERVE | 17 | NORMAL
2026-06-01 06:57:23 | FACILITY_WATER_MAIN | 34 | NORMAL
2026-06-01 06:57:23 | ICU_WATER_RESERVE | 10 | NORMAL
2026-06-01 06:57:24 | FACILITY_WATER_MAIN | 10 | NORMAL
2026-06-01 06:57:24 | ICU_WATER_RESERVE | 31 | NORMAL
2026-06-01 07:02:03 | FACILITY_WATER_MAIN | 23 | NORMAL
2026-06-01 07:02:03 | ICU_WATER_RESERVE | 16 | NORMAL
2026-06-01 07:02:04 | FACILITY_WATER_MAIN | 37 | HIGH_USAGE
2026-06-01 07:02:04 | ICU_WATER_RESERVE | 17 | NORMAL
2026-06-01 07:02:05 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-06-01 07:02:05 | ICU_WATER_RESERVE | 18 | NORMAL
2026-06-01 07:02:06 | FACILITY_WATER_MAIN | 34 | NORMAL
2026-06-01 07:02:06 | ICU_WATER_RESERVE | 21 | NORMAL
2026-06-01 07:02:07 | FACILITY_WATER_MAIN | 34 | NORMAL
2026-06-01 07:02:07 | ICU_WATER_RESERVE | 26 | NORMAL
2026-06-01 07:02:08 | FACILITY_WATER_MAIN | 5 | NORMAL
2026-06-01 07:02:08 | ICU_WATER_RESERVE | 17 | NORMAL
2026-06-01 07:02:09 | FACILITY_WATER_MAIN | 16 | NORMAL
2026-06-01 07:02:09 | ICU_WATER_RESERVE | 20 | NORMAL
2026-06-01 07:02:10 | FACILITY_WATER_MAIN | 27 | NORMAL
2026-06-01 07:02:10 | ICU_WATER_RESERVE | 37 | HIGH_USAGE
