Timestamp | Device_ID | Temperature (Celsius) | Status
2026-06-01 06:57:01 | WARD_B_TEMP_01 | 37.2 | NORMAL
2026-06-01 06:57:01 | WARD_B_TEMP_02 | 37.8 | WARNING
2026-06-01 06:57:01 | WARD_B_TEMP_03 | 39.7 | CRITICAL
2026-06-01 06:57:01 | WARD_B_TEMP_04 | 37.0 | NORMAL
2026-06-01 06:57:01 | WARD_B_TEMP_05 | 39.7 | CRITICAL
2026-06-01 06:57:02 | WARD_B_TEMP_01 | 37.3 | NORMAL
2026-06-01 06:57:02 | WARD_B_TEMP_02 | 37.7 | WARNING
2026-06-01 06:57:02 | WARD_B_TEMP_03 | 36.3 | NORMAL
2026-06-01 06:57:02 | WARD_B_TEMP_04 | 35.7 | NORMAL
2026-06-01 06:57:02 | WARD_B_TEMP_05 | 39.7 | CRITICAL
2026-06-01 06:57:03 | WARD_B_TEMP_01 | 37.1 | NORMAL
2026-06-01 06:57:03 | WARD_B_TEMP_02 | 35.8 | NORMAL
2026-06-01 06:57:03 | WARD_B_TEMP_03 | 36.5 | NORMAL
2026-06-01 06:57:03 | WARD_B_TEMP_04 | 38.8 | CRITICAL
2026-06-01 06:57:03 | WARD_B_TEMP_05 | 39.7 | CRITICAL
2026-06-01 06:57:04 | WARD_B_TEMP_01 | 40.4 | CRITICAL
2026-06-01 06:57:04 | WARD_B_TEMP_02 | 36.7 | NORMAL
2026-06-01 06:57:04 | WARD_B_TEMP_03 | 36.7 | NORMAL
2026-06-01 06:57:04 | WARD_B_TEMP_04 | 38.1 | CRITICAL
2026-06-01 06:57:04 | WARD_B_TEMP_05 | 35.5 | NORMAL
2026-06-01 06:57:05 | WARD_B_TEMP_01 | 36.6 | NORMAL
2026-06-01 06:57:05 | WARD_B_TEMP_02 | 34.7 | CRITICAL
2026-06-01 06:57:05 | WARD_B_TEMP_03 | 36.5 | NORMAL
2026-06-01 06:57:05 | WARD_B_TEMP_04 | 40.4 | CRITICAL
2026-06-01 06:57:05 | WARD_B_TEMP_05 | 38.6 | CRITICAL
2026-06-01 06:57:06 | WARD_B_TEMP_01 | 38.6 | CRITICAL
2026-06-01 06:57:06 | WARD_B_TEMP_02 | 36.0 | NORMAL
2026-06-01 06:57:06 | WARD_B_TEMP_03 | 38.7 | CRITICAL
2026-06-01 06:57:06 | WARD_B_TEMP_04 | 37.1 | NORMAL
2026-06-01 06:57:06 | WARD_B_TEMP_05 | 35.8 | NORMAL
2026-06-01 06:57:07 | WARD_B_TEMP_01 | 37.4 | NORMAL
2026-06-01 06:57:07 | WARD_B_TEMP_02 | 39.2 | CRITICAL
2026-06-01 06:57:07 | WARD_B_TEMP_03 | 37.0 | NORMAL
2026-06-01 06:57:07 | WARD_B_TEMP_04 | 37.8 | WARNING
2026-06-01 06:57:07 | WARD_B_TEMP_05 | 36.3 | NORMAL
2026-06-01 06:57:08 | WARD_B_TEMP_01 | 40.1 | CRITICAL
2026-06-01 06:57:08 | WARD_B_TEMP_02 | 39.9 | CRITICAL
2026-06-01 06:57:08 | WARD_B_TEMP_03 | 34.9 | CRITICAL
2026-06-01 06:57:08 | WARD_B_TEMP_04 | 39.1 | CRITICAL
2026-06-01 06:57:08 | WARD_B_TEMP_05 | 35.6 | NORMAL
2026-06-01 06:57:09 | WARD_B_TEMP_01 | 38.8 | CRITICAL
2026-06-01 06:57:09 | WARD_B_TEMP_02 | 35.4 | CRITICAL
2026-06-01 06:57:09 | WARD_B_TEMP_03 | 40.5 | CRITICAL
2026-06-01 06:57:09 | WARD_B_TEMP_04 | 38.1 | CRITICAL
2026-06-01 06:57:09 | WARD_B_TEMP_05 | 36.2 | NORMAL
2026-06-01 06:57:10 | WARD_B_TEMP_01 | 40.1 | CRITICAL
2026-06-01 06:57:10 | WARD_B_TEMP_02 | 38.5 | CRITICAL
2026-06-01 06:57:10 | WARD_B_TEMP_03 | 39.3 | CRITICAL
2026-06-01 06:57:10 | WARD_B_TEMP_04 | 36.6 | NORMAL
2026-06-01 06:57:10 | WARD_B_TEMP_05 | 38.5 | CRITICAL
2026-06-01 06:57:11 | WARD_B_TEMP_01 | 36.4 | NORMAL
2026-06-01 06:57:11 | WARD_B_TEMP_02 | 35.4 | CRITICAL
2026-06-01 06:57:11 | WARD_B_TEMP_03 | 36.0 | NORMAL
2026-06-01 06:57:11 | WARD_B_TEMP_04 | 39.1 | CRITICAL
2026-06-01 06:57:11 | WARD_B_TEMP_05 | 37.8 | WARNING
2026-06-01 06:57:12 | WARD_B_TEMP_01 | 40.1 | CRITICAL
2026-06-01 06:57:12 | WARD_B_TEMP_02 | 38.8 | CRITICAL
2026-06-01 06:57:12 | WARD_B_TEMP_03 | 39.2 | CRITICAL
2026-06-01 06:57:12 | WARD_B_TEMP_04 | 38.3 | CRITICAL
2026-06-01 06:57:12 | WARD_B_TEMP_05 | 39.5 | CRITICAL
2026-06-01 06:57:13 | WARD_B_TEMP_01 | 40.2 | CRITICAL
2026-06-01 06:57:13 | WARD_B_TEMP_02 | 40.1 | CRITICAL
2026-06-01 06:57:13 | WARD_B_TEMP_03 | 39.8 | CRITICAL
2026-06-01 06:57:13 | WARD_B_TEMP_04 | 38.9 | CRITICAL
2026-06-01 06:57:13 | WARD_B_TEMP_05 | 38.8 | CRITICAL
2026-06-01 06:57:14 | WARD_B_TEMP_01 | 39.9 | CRITICAL
2026-06-01 06:57:14 | WARD_B_TEMP_02 | 38.1 | CRITICAL
2026-06-01 06:57:14 | WARD_B_TEMP_03 | 37.4 | NORMAL
2026-06-01 06:57:14 | WARD_B_TEMP_04 | 36.3 | NORMAL
2026-06-01 06:57:14 | WARD_B_TEMP_05 | 36.2 | NORMAL
2026-06-01 06:57:15 | WARD_B_TEMP_01 | 35.0 | CRITICAL
2026-06-01 06:57:15 | WARD_B_TEMP_02 | 39.1 | CRITICAL
2026-06-01 06:57:15 | WARD_B_TEMP_03 | 34.5 | CRITICAL
2026-06-01 06:57:15 | WARD_B_TEMP_04 | 35.3 | CRITICAL
2026-06-01 06:57:15 | WARD_B_TEMP_05 | 37.0 | NORMAL
2026-06-01 06:57:16 | WARD_B_TEMP_01 | 35.2 | CRITICAL
2026-06-01 06:57:16 | WARD_B_TEMP_02 | 38.5 | CRITICAL
2026-06-01 06:57:16 | WARD_B_TEMP_03 | 39.8 | CRITICAL
2026-06-01 06:57:16 | WARD_B_TEMP_04 | 40.2 | CRITICAL
2026-06-01 06:57:16 | WARD_B_TEMP_05 | 40.3 | CRITICAL
2026-06-01 06:57:17 | WARD_B_TEMP_01 | 36.9 | NORMAL
2026-06-01 06:57:17 | WARD_B_TEMP_02 | 38.5 | CRITICAL
2026-06-01 06:57:17 | WARD_B_TEMP_03 | 38.5 | CRITICAL
2026-06-01 06:57:17 | WARD_B_TEMP_04 | 37.7 | WARNING
2026-06-01 06:57:17 | WARD_B_TEMP_05 | 36.4 | NORMAL
2026-06-01 06:57:18 | WARD_B_TEMP_01 | 35.1 | CRITICAL
2026-06-01 06:57:18 | WARD_B_TEMP_02 | 36.1 | NORMAL
2026-06-01 06:57:18 | WARD_B_TEMP_03 | 39.2 | CRITICAL
2026-06-01 06:57:18 | WARD_B_TEMP_04 | 38.9 | CRITICAL
2026-06-01 06:57:18 | WARD_B_TEMP_05 | 36.9 | NORMAL
2026-06-01 06:57:19 | WARD_B_TEMP_01 | 39.2 | CRITICAL
2026-06-01 06:57:19 | WARD_B_TEMP_02 | 36.1 | NORMAL
2026-06-01 06:57:19 | WARD_B_TEMP_03 | 36.0 | NORMAL
2026-06-01 06:57:19 | WARD_B_TEMP_04 | 36.9 | NORMAL
2026-06-01 06:57:19 | WARD_B_TEMP_05 | 37.6 | WARNING
2026-06-01 06:57:20 | WARD_B_TEMP_01 | 36.3 | NORMAL
2026-06-01 06:57:20 | WARD_B_TEMP_02 | 38.4 | CRITICAL
2026-06-01 06:57:20 | WARD_B_TEMP_03 | 38.3 | CRITICAL
2026-06-01 06:57:20 | WARD_B_TEMP_04 | 37.2 | NORMAL
2026-06-01 06:57:20 | WARD_B_TEMP_05 | 36.0 | NORMAL
2026-06-01 06:57:21 | WARD_B_TEMP_01 | 34.6 | CRITICAL
2026-06-01 06:57:21 | WARD_B_TEMP_02 | 37.9 | WARNING
2026-06-01 06:57:21 | WARD_B_TEMP_03 | 35.4 | CRITICAL
2026-06-01 06:57:21 | WARD_B_TEMP_04 | 37.0 | NORMAL
2026-06-01 06:57:21 | WARD_B_TEMP_05 | 34.8 | CRITICAL
2026-06-01 06:57:22 | WARD_B_TEMP_01 | 35.0 | CRITICAL
2026-06-01 06:57:22 | WARD_B_TEMP_02 | 34.6 | CRITICAL
2026-06-01 06:57:22 | WARD_B_TEMP_03 | 35.8 | NORMAL
2026-06-01 06:57:22 | WARD_B_TEMP_04 | 40.2 | CRITICAL
2026-06-01 06:57:22 | WARD_B_TEMP_05 | 35.6 | NORMAL
2026-06-01 06:57:23 | WARD_B_TEMP_01 | 38.1 | CRITICAL
2026-06-01 06:57:23 | WARD_B_TEMP_02 | 37.2 | NORMAL
2026-06-01 06:57:23 | WARD_B_TEMP_03 | 35.5 | NORMAL
2026-06-01 06:57:23 | WARD_B_TEMP_04 | 38.6 | CRITICAL
2026-06-01 06:57:23 | WARD_B_TEMP_05 | 34.9 | CRITICAL
2026-06-01 06:57:24 | WARD_B_TEMP_01 | 39.5 | CRITICAL
2026-06-01 06:57:24 | WARD_B_TEMP_02 | 34.9 | CRITICAL
2026-06-01 06:57:24 | WARD_B_TEMP_03 | 36.1 | NORMAL
2026-06-01 06:57:24 | WARD_B_TEMP_04 | 39.3 | CRITICAL
2026-06-01 06:57:24 | WARD_B_TEMP_05 | 39.8 | CRITICAL
2026-06-01 07:02:03 | WARD_B_TEMP_01 | 39.2 | CRITICAL
2026-06-01 07:02:03 | WARD_B_TEMP_02 | 38.3 | CRITICAL
2026-06-01 07:02:03 | WARD_B_TEMP_03 | 39.4 | CRITICAL
2026-06-01 07:02:03 | WARD_B_TEMP_04 | 39.9 | CRITICAL
2026-06-01 07:02:03 | WARD_B_TEMP_05 | 38.6 | CRITICAL
2026-06-01 07:02:04 | WARD_B_TEMP_01 | 35.1 | CRITICAL
2026-06-01 07:02:04 | WARD_B_TEMP_02 | 39.4 | CRITICAL
2026-06-01 07:02:04 | WARD_B_TEMP_03 | 39.4 | CRITICAL
2026-06-01 07:02:04 | WARD_B_TEMP_04 | 37.1 | NORMAL
2026-06-01 07:02:04 | WARD_B_TEMP_05 | 36.9 | NORMAL
2026-06-01 07:02:05 | WARD_B_TEMP_01 | 36.0 | NORMAL
2026-06-01 07:02:05 | WARD_B_TEMP_02 | 37.1 | NORMAL
2026-06-01 07:02:05 | WARD_B_TEMP_03 | 39.3 | CRITICAL
2026-06-01 07:02:05 | WARD_B_TEMP_04 | 37.1 | NORMAL
2026-06-01 07:02:05 | WARD_B_TEMP_05 | 34.9 | CRITICAL
2026-06-01 07:02:06 | WARD_B_TEMP_01 | 40.1 | CRITICAL
2026-06-01 07:02:06 | WARD_B_TEMP_02 | 40.1 | CRITICAL
2026-06-01 07:02:06 | WARD_B_TEMP_03 | 37.7 | WARNING
2026-06-01 07:02:06 | WARD_B_TEMP_04 | 38.9 | CRITICAL
2026-06-01 07:02:06 | WARD_B_TEMP_05 | 38.9 | CRITICAL
2026-06-01 07:02:07 | WARD_B_TEMP_01 | 39.8 | CRITICAL
2026-06-01 07:02:07 | WARD_B_TEMP_02 | 34.6 | CRITICAL
2026-06-01 07:02:07 | WARD_B_TEMP_03 | 38.8 | CRITICAL
2026-06-01 07:02:07 | WARD_B_TEMP_04 | 36.8 | NORMAL
2026-06-01 07:02:07 | WARD_B_TEMP_05 | 36.6 | NORMAL
2026-06-01 07:02:08 | WARD_B_TEMP_01 | 39.2 | CRITICAL
2026-06-01 07:02:08 | WARD_B_TEMP_02 | 39.8 | CRITICAL
2026-06-01 07:02:08 | WARD_B_TEMP_03 | 36.3 | NORMAL
2026-06-01 07:02:08 | WARD_B_TEMP_04 | 38.0 | WARNING
2026-06-01 07:02:08 | WARD_B_TEMP_05 | 35.0 | CRITICAL
2026-06-01 07:02:09 | WARD_B_TEMP_01 | 35.8 | NORMAL
2026-06-01 07:02:09 | WARD_B_TEMP_02 | 39.0 | CRITICAL
2026-06-01 07:02:09 | WARD_B_TEMP_03 | 36.5 | NORMAL
2026-06-01 07:02:09 | WARD_B_TEMP_04 | 36.1 | NORMAL
2026-06-01 07:02:09 | WARD_B_TEMP_05 | 39.6 | CRITICAL
2026-06-01 07:02:10 | WARD_B_TEMP_01 | 36.1 | NORMAL
2026-06-01 07:02:10 | WARD_B_TEMP_02 | 36.9 | NORMAL
2026-06-01 07:02:10 | WARD_B_TEMP_03 | 38.5 | CRITICAL
2026-06-01 07:02:10 | WARD_B_TEMP_04 | 38.9 | CRITICAL
2026-06-01 07:02:10 | WARD_B_TEMP_05 | 35.1 | CRITICAL
2026-06-01 07:02:11 | WARD_B_TEMP_01 | 40.4 | CRITICAL
2026-06-01 07:02:11 | WARD_B_TEMP_02 | 38.7 | CRITICAL
2026-06-01 07:02:11 | WARD_B_TEMP_03 | 35.6 | NORMAL
2026-06-01 07:02:11 | WARD_B_TEMP_04 | 37.8 | WARNING
2026-06-01 07:02:11 | WARD_B_TEMP_05 | 34.8 | CRITICAL
2026-06-01 07:02:12 | WARD_B_TEMP_01 | 40.0 | CRITICAL
2026-06-01 07:02:12 | WARD_B_TEMP_02 | 35.3 | CRITICAL
2026-06-01 07:02:12 | WARD_B_TEMP_03 | 37.7 | WARNING
2026-06-01 07:02:12 | WARD_B_TEMP_04 | 38.8 | CRITICAL
2026-06-01 07:02:12 | WARD_B_TEMP_05 | 34.6 | CRITICAL
2026-06-01 07:02:13 | WARD_B_TEMP_01 | 35.3 | CRITICAL
2026-06-01 07:02:13 | WARD_B_TEMP_02 | 35.9 | NORMAL
2026-06-01 07:02:13 | WARD_B_TEMP_03 | 38.0 | WARNING
2026-06-01 07:02:13 | WARD_B_TEMP_04 | 38.2 | CRITICAL
2026-06-01 07:02:13 | WARD_B_TEMP_05 | 35.0 | CRITICAL
2026-06-01 07:02:14 | WARD_B_TEMP_01 | 39.2 | CRITICAL
2026-06-01 07:02:14 | WARD_B_TEMP_02 | 39.7 | CRITICAL
2026-06-01 07:02:14 | WARD_B_TEMP_03 | 39.7 | CRITICAL
2026-06-01 07:02:14 | WARD_B_TEMP_04 | 36.6 | NORMAL
